0,0,0
3600,6.04084063,6.04084063
7200,5.728823333,11.76966396
10800,5.520403372,17.29006733
14400,5.596237779,22.88630511
18000,6.097030009,28.98333512
21600,6.430955403,35.41429052
25200,6.94883678,42.36312731
28800,7.778144499,50.1412718
32400,10.35881548,60.50008728
36000,11.02543277,71.52552006
39600,11.3363473,82.86186736
43200,11.6470277,94.50889506
46800,11.9573641,106.4662592
50400,12.11182664,118.5780858
54000,12.2141522,130.792238
57600,12.36825865,143.1604966
61200,10.61770882,153.7782055
64800,10.36637149,164.1445769
68400,12.47282916,176.6174061
72000,12.74167095,189.3590771
75600,12.03763722,201.3967143
79200,11.2080662,212.6047805
82800,10.17143701,222.7762175
86400,9.343531136,232.1197486
