0,0,0
3600,1.309121415,1.309121415
7200,1.103021647,2.412143063
10800,1.58281161,3.994954673
14400,1.582891335,5.577846008
18000,1.582861332,7.16070734
21600,1.375059784,8.535767124
25200,0.751223794,9.286990917
28800,0.912762823,10.19975374
32400,0.913120545,11.11287428
36000,1.103854293,12.21672858
39600,1.103943433,13.32067201
43200,2.213424895,15.53409691
46800,3.158054298,18.6921512
50400,1.824028263,20.51617947
54000,1.104299185,21.62047865
57600,0.913805712,22.53428436
61200,1.584001476,24.11828584
64800,2.410628773,26.52891461
68400,1.584302697,28.11321731
72000,1.104412108,29.21762942
75600,2.491007289,31.70863671
79200,4.188285276,35.89692198
82800,1.877592465,37.77451445
86400,0.912857595,38.68737204
